,Date,AAPL,AMD,AMZN,GOOG,IBM,INTC,LCID,META,MSFT,TSLA
145,2023-01-26,54105100,0,68523600,24542100,0,56088100,0,25482100,33454500,234815100
146,2023-01-27,70555800,58118600,87775600,29020400,0,148548200,208145200,35771900,0,306590600
147,2023-01-30,0,0,0,0,5375700,55145800,0,0,0,0
148,2023-01-31,65874500,71669100,66527300,22306800,0,52621600,50844400,29842100,26541100,196813500
149,2023-02-01,77663600,152548200,80450100,26392600,5428900,63330600,42035400,55661000,31259900,213806300
150,2023-02-02,118339000,97762100,158154200,46622600,6107800,62230700,0,150475700,39940400,217448300
151,2023-02-03,154357300,0,0,36823400,3755700,57603100,0,76809700,0,232662000
152,2023-02-06,0,0,0,25573000,4841300,0,26373700,0,0,186188100
153,2023-02-07,83322600,65291900,119501300,33738800,3737600,50780800,0,47080700,50841400,186010300
154,2023-02-08,0,0,0,0,4593700,0,21528900,0,0,180673600
155,2023-02-09,0,0,0,0,0,0,0,0,0,0
156,2023-02-10,57450700,0,52740100,0,5049600,31232500,0,0,25818500,0
157,2023-02-13,62199000,45400000,52841500,0,4403000,32347500,14305200,31463200,44630900,172475500
158,2023-02-14,61707600,55979700,56202900,42513100,0,27928900,17868200,24034600,0,216455700
159,2023-02-15,65573800,46430200,47957600,36964500,2506700,23359400,23199600,25308900,28922400,181006400
160,2023-02-16,68167900,0,0,35642100,0,0,0,0,0,0
161,2023-02-17,59144100,0,0,0,3466200,0,15798400,24171300,0,213738500
162,2023-02-21,0,0,0,0,0,0,0,0,0,0
163,2023-02-22,51011300,0,59534100,0,0,0,0,22433200,0,191828500
164,2023-02-23,0,0,0,0,0,0,66382600,20017800,0,0
165,2023-02-24,0,46700000,0,0,3015800,0,27562600,19791300,0,142228100
166,2023-02-27,44998500,0,0,22724300,0,0,17714700,0,0,161028300
167,2023-02-28,50547000,44220100,43959300,30546900,0,0,23496100,46051100,22491000,0
168,2023-03-01,0,0,0,26323900,0,47823400,0,0,0,0
169,2023-03-02,52238100,60108600,55509400,23328600,3340100,48309300,16281100,17352000,24808200,181500700
