Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2023-05-12,7.09,7.178,6.89,7.04,7.04,14018100,LCID
2023-05-15,7.08,7.19,6.952,7.17,7.17,11608800,LCID
2023-05-16,7.1,7.18,6.97,6.98,6.98,11197100,LCID
2023-05-17,7.03,7.24,6.93,7.23,7.23,12650900,LCID
2023-05-18,7.17,7.29,7.11,7.29,7.29,10090300,LCID
2023-05-19,7.28,7.51,7.13,7.18,7.18,14343700,LCID
2023-05-22,7.2,7.758,7.07,7.65,7.65,17459600,LCID
2023-05-23,7.521,7.94,7.5,7.55,7.55,14970200,LCID
2023-05-24,7.46,7.54,7.3,7.49,7.49,8218900,LCID
2023-05-25,7.46,7.665,7.38,7.61,7.61,11171000,LCID
2023-05-26,7.59,7.99,7.52,7.87,7.87,14426600,LCID
2023-05-30,7.95,8.095,7.63,7.71,7.71,13986000,LCID
2023-05-31,7.67,7.81,7.49,7.76,7.76,32478100,LCID
2023-06-01,6.78,6.82,6.2,6.5,6.5,161052800,LCID
2023-06-02,6.55,6.61,6.39,6.6,6.6,52308100,LCID
2023-06-05,6.59,6.61,6.33,6.59,6.59,35903300,LCID
2023-06-06,6.55,6.91,6.533,6.9,6.9,43033000,LCID
2023-06-07,6.9,6.925,6.4,6.4,6.4,46769200,LCID
2023-06-08,6.63,6.7,6.26,6.28,6.28,50228000,LCID
2023-06-09,6.35,6.4,6.13,6.21,6.21,35792100,LCID
2023-06-12,6.31,6.52,6.23,6.27,6.27,38486000,LCID
2023-06-13,6.37,6.66,6.23,6.55,6.55,64473500,LCID
2023-06-14,6.61,6.655,6.34,6.4,6.4,37444400,LCID
2023-06-15,6.39,6.75,6.33,6.59,6.59,41955500,LCID
2023-06-16,6.61,6.76,6.44,6.48,6.48,45045000,LCID
2023-06-20,6.53,6.58,6.26,6.32,6.32,32733100,LCID
2023-06-21,6.3,6.31,6,6.05,6.05,49954100,LCID
2023-06-22,6.07,6.08,5.72,5.73,5.73,47898100,LCID
2023-06-23,5.65,5.75,5.46,5.47,5.47,61875900,LCID
2023-06-26,6.01,6.28,5.55,5.55,5.55,108379600,LCID
2023-06-27,5.79,6.15,5.56,6.1,6.1,74181400,LCID
2023-06-28,6.09,6.54,6.03,6.42,6.42,68049600,LCID
2023-06-29,6.475,6.94,6.41,6.855,6.855,61880326,LCID
